problem_index,family,corruption_type,is_correct,verdict,caught,difference_multiple_of_M
55,power,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
56,factorial,correct,1,NOT_RULED_OUT,,1
56,factorial,random_offset,0,RULED_OUT_WRONG,1,0
56,factorial,digit_transpose,0,RULED_OUT_WRONG,1,0
56,factorial,off_by_power10,0,RULED_OUT_WRONG,1,0
56,factorial,sign_flip,0,RULED_OUT_WRONG,1,0
56,factorial,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
56,factorial,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
57,fibonacci,correct,1,NOT_RULED_OUT,,1
57,fibonacci,random_offset,0,RULED_OUT_WRONG,1,0
57,fibonacci,digit_transpose,0,RULED_OUT_WRONG,1,0
57,fibonacci,off_by_power10,0,RULED_OUT_WRONG,1,0
57,fibonacci,sign_flip,0,RULED_OUT_WRONG,1,0
57,fibonacci,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
57,fibonacci,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
58,bigsum,correct,1,NOT_RULED_OUT,,1
58,bigsum,random_offset,0,RULED_OUT_WRONG,1,0
58,bigsum,digit_transpose,0,RULED_OUT_WRONG,1,0
58,bigsum,off_by_power10,0,RULED_OUT_WRONG,1,0
58,bigsum,sign_flip,0,RULED_OUT_WRONG,1,0
58,bigsum,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
58,bigsum,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
59,bigprod,correct,1,NOT_RULED_OUT,,1
59,bigprod,random_offset,0,RULED_OUT_WRONG,1,0
59,bigprod,digit_transpose,0,RULED_OUT_WRONG,1,0
59,bigprod,off_by_power10,0,RULED_OUT_WRONG,1,0
59,bigprod,sign_flip,0,RULED_OUT_WRONG,1,0
59,bigprod,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
59,bigprod,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
60,power,correct,1,NOT_RULED_OUT,,1
60,power,random_offset,0,RULED_OUT_WRONG,1,0
60,power,digit_transpose,0,RULED_OUT_WRONG,1,0
60,power,off_by_power10,0,RULED_OUT_WRONG,1,0
60,power,sign_flip,0,RULED_OUT_WRONG,1,0
60,power,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
